id,date,rating,comment
499*****,2026-07-17 19:35:12,2,처음부터끝까지 욕욕욕~!!!시나리오 구성을 어쩜 이렇게기본도 안되게 했는지...배우들의 명성에 먹칠한 영화ㅠ지루함과 억지 긴장감 조성..보는 내내 인내심을 필요로 하는  영화~나오고 싶은 맘 참고 또 참고...언론이 문제네요비추합니다~~!!
399*****,2026-07-17 19:25:34,8,"https://theqoo.net/hot/4281501517어느 영화팬의 리뷰를 보고 느낀 감상을 적어봅니다.영화는 외계의 침입에 관한 이야기를 하고있는데 사실, 이것은 지구 내부의 역사이야기이기도 하다.서구 열강이 아프리카와 아시아 지역을 침공해서 노예로 삼은 역사가 있는데,현실에서 기술발전한 서구 중심의 역사가 이어지다가. 이젠 약자에서 위로 올라오는아시아의 붐이 있어서 세계의 힘의 구도가 바뀌고 있는것이 현실이다.그런데, 외계인이 귀족혈통인 것은 사실 중요하지 않다.  기술이 발전해서 지배가 가능했지만, 동양의 정신문화와 서구의 과학문명이 합쳐져야만 이상적이며,외계 문명이든 서구 문명이든 약자의 문명이든 중요한 것은 모두 같은 생명체이며서구의 침입의 결과로 이젠 테러가 일어나는 시대가 된것이다. 좋은 행동이든 나쁜 행동이든 그에 부합한 결과가 따라오는 것이 과학과 인류문명의 법칙이다.피해를 봤던 동양의 지역에서는 테러가 일어나지 않는다. 피해를 본 중동지역에서 특히테러를 일으키게 되어있기 때문이다. 예언자들은 서구 침탈의 국가들이 사죄해야 하는 시대가 올것이고, 자신들의 침입으로 인한 결과로 이민자들과 불평할 자격없이 살아야 하는 것이다. 왜냐면 조상들이 저지른 일이 있기 때문이다.나는 이런 이야기를 하고 싶었다."
295*****,2026-07-17 19:05:22,1,"다른 사람이 죽는 것처럼 죽어야할 조인성은 안 죽다가 황당하게 죽고, 의사소통이 안 될 것 같은 외계인은 대사를 한다. 나홍진의 주특기 앞부분 훼이크는 여전히 촌스럽다. 누가 본다고 하면 다른 영화보라고 말리고 싶다. 한 마디로 낚이지 마라."
499*****,2026-07-17 14:18:24,10,누구나 그럴싸한 계획을 갖고있다쳐맞기 전까지는.감독이 얼마나 쳐맞을지 궁금해서 영화를봤다아뿔사! 나홍진이 타이슨이었어!영화를 보는내내 내가 얻어터짐.
499*****,2026-07-17 13:49:39,8,"리뷰보고 걱정이 약간 있었던....하지만 역시 실망시키지 않았다.추격자, 곡성을 재밌게  봤던 사람으로서이 영화를 같은 분들께 강추한다.무엇보다 쫄리는 추격씬..별하나를 뺀 건 갑자기? 영화가 끝나버려서..간만에 극장에 간 보람있었다."
499*****,2026-07-17 13:48:36,7,영화는제밌게 봤어요 근데 대사절반이넘게 전부욕이에요 ㅠ보는내내불편했어요. 욕없이도 괜찮을것 같던데 대본쓰기 싫으셨나봐요 ㅠ
490*****,2026-07-17 13:16:37,1,영화가 길다. 외계인은 안나오고 40분 동안 욕만한다. 이후 외계인이 나온다. 파리 오트 쿠뛰르에 나올법한 나무 인간??파묘의 장신괴물...감독의 티켓파워에 경쟁작이 없으니 홀로 독주하나 칸에서 왜 반응이 뜨뜨미지근 했는지 이해가갈것 같다. 큰일은 속편을 암시하는.
610*****,2026-07-17 13:09:03,10,"벌써 두번 봤습니다.  1회차엔 호기심+긴장감으로 보고, 2회차엔 완전히 즐기며 봤습니다.시작부터 끝까지 질주하는 영화를 시도한다는 거 자체가 박수받아 마땅해요.서사가 없고 대사 내용이 없다? 제 생각에 이 영화엔 그런게 필요없어요.그냥 쫓고 쫓기는걸 즐기면 됩니다.시원해요."
499*****,2026-07-17 13:08:01,1,낚시 당함
104*****,2026-07-17 09:49:47,9,친근한 코믹드라마와 광활한 우주 sf대작의 어색하지만 끌릴 수 밖에 없는 충격 그리고 한국식 액션의 안착
